ts,open,high,low,close,volume
2025-04-23 01:13:45+00:00,5402.25,5402.25,5401.0,5401.25,143.0
2025-04-23 01:14:00+00:00,5401.25,5401.75,5401.25,5401.25,30.0
2025-04-23 01:14:15+00:00,5401.5,5401.5,5401.0,5401.25,42.0
2025-04-23 01:14:30+00:00,5401.0,5401.5,5400.5,5401.5,73.0
2025-04-23 01:14:45+00:00,5401.25,5401.5,5401.0,5401.25,15.0
2025-04-23 01:15:00+00:00,5401.5,5402.75,5401.5,5402.0,133.0
2025-04-23 01:15:15+00:00,5402.0,5402.25,5401.5,5402.0,31.0
2025-04-23 01:15:30+00:00,5402.0,5402.25,5401.75,5401.75,38.0
2025-04-23 01:15:45+00:00,5401.75,5402.0,5401.0,5401.0,112.0
2025-04-23 01:16:00+00:00,5401.5,5401.5,5400.75,5401.0,49.0
2025-04-23 01:16:15+00:00,5401.0,5401.25,5400.75,5400.75,38.0
2025-04-23 01:16:30+00:00,5400.5,5401.25,5400.5,5400.75,38.0
2025-04-23 01:16:45+00:00,5401.0,5401.5,5401.0,5401.5,36.0
2025-04-23 01:17:00+00:00,5401.5,5402.75,5401.25,5402.25,85.0
2025-04-23 01:17:15+00:00,5402.5,5402.75,5402.25,5402.25,35.0
2025-04-23 01:17:30+00:00,5402.5,5402.5,5401.5,5401.5,52.0
2025-04-23 01:17:45+00:00,5401.75,5402.75,5401.75,5402.5,49.0
2025-04-23 01:18:00+00:00,5402.25,5402.25,5401.25,5401.25,72.0
2025-04-23 01:18:15+00:00,5401.25,5401.5,5401.0,5401.25,44.0
2025-04-23 01:18:30+00:00,5401.0,5401.25,5399.75,5399.75,81.0
2025-04-23 01:18:45+00:00,5399.75,5400.5,5399.25,5400.0,86.0
2025-04-23 01:19:00+00:00,5400.5,5401.0,5399.75,5399.75,60.0
2025-04-23 01:19:15+00:00,5399.75,5400.0,5399.5,5399.5,57.0
2025-04-23 01:19:30+00:00,5399.75,5399.75,5399.0,5399.5,95.0
2025-04-23 01:19:45+00:00,5399.5,5400.5,5399.5,5400.5,68.0
2025-04-23 01:20:00+00:00,5400.25,5400.5,5400.0,5400.25,42.0
2025-04-23 01:20:15+00:00,5400.25,5400.5,5399.75,5400.0,50.0
2025-04-23 01:20:30+00:00,5399.75,5400.0,5399.25,5399.25,28.0
2025-04-23 01:20:45+00:00,5399.5,5400.25,5399.5,5400.25,27.0
2025-04-23 01:21:00+00:00,5400.25,5400.75,5400.0,5400.0,68.0
2025-04-23 01:21:15+00:00,5400.0,5401.0,5399.75,5401.0,79.0
2025-04-23 01:21:30+00:00,5401.25,5401.5,5400.25,5400.75,41.0
2025-04-23 01:21:45+00:00,5401.0,5401.5,5401.0,5401.25,20.0
2025-04-23 01:22:00+00:00,5401.25,5402.0,5401.0,5402.0,46.0
2025-04-23 01:22:15+00:00,5402.0,5403.25,5401.5,5402.75,179.0
2025-04-23 01:22:30+00:00,5402.75,5403.0,5401.75,5402.5,86.0
2025-04-23 01:22:45+00:00,5402.25,5402.25,5401.0,5401.25,60.0
2025-04-23 01:23:00+00:00,5401.25,5401.75,5400.25,5400.25,108.0
2025-04-23 01:23:15+00:00,5400.25,5400.5,5396.25,5398.5,435.0
2025-04-23 01:23:30+00:00,5398.25,5398.75,5397.75,5398.75,86.0
2025-04-23 01:23:45+00:00,5398.5,5399.0,5398.25,5398.25,48.0
2025-04-23 01:24:00+00:00,5398.25,5399.0,5397.5,5398.5,187.0
2025-04-23 01:24:15+00:00,5398.75,5399.5,5398.0,5398.5,100.0
2025-04-23 01:24:30+00:00,5398.0,5398.0,5397.0,5398.0,110.0
2025-04-23 01:24:45+00:00,5398.25,5398.25,5397.75,5397.75,62.0
2025-04-23 01:25:00+00:00,5397.5,5398.25,5397.25,5397.25,51.0
2025-04-23 01:25:15+00:00,5397.5,5398.25,5397.25,5397.75,57.0
2025-04-23 01:25:30+00:00,5397.5,5398.0,5397.25,5397.75,64.0
2025-04-23 01:25:45+00:00,5398.0,5398.25,5397.75,5397.75,57.0
2025-04-23 01:26:00+00:00,5398.25,5398.25,5397.75,5397.75,37.0
2025-04-23 01:26:15+00:00,5397.25,5397.5,5397.0,5397.5,44.0
2025-04-23 01:26:30+00:00,5397.5,5397.75,5397.25,5397.5,50.0
2025-04-23 01:26:45+00:00,5397.5,5397.75,5397.0,5397.75,80.0
2025-04-23 01:27:00+00:00,5397.5,5397.75,5397.25,5397.5,46.0
2025-04-23 01:27:15+00:00,5397.5,5397.75,5397.25,5397.25,21.0
2025-04-23 01:27:30+00:00,5397.5,5397.75,5397.0,5397.75,30.0
2025-04-23 01:27:45+00:00,5397.5,5398.0,5397.25,5397.75,41.0
2025-04-23 01:28:00+00:00,5397.75,5397.75,5397.5,5397.5,24.0
2025-04-23 01:28:15+00:00,5397.25,5397.75,5397.25,5397.5,34.0
2025-04-23 01:28:30+00:00,5397.5,5398.0,5397.25,5397.5,44.0
2025-04-23 01:28:45+00:00,5397.75,5397.75,5397.0,5397.25,58.0
2025-04-23 01:29:00+00:00,5397.5,5397.75,5397.0,5397.5,37.0
2025-04-23 01:29:15+00:00,5397.25,5397.5,5397.0,5397.5,23.0
2025-04-23 01:29:30+00:00,5397.25,5397.75,5397.25,5397.25,18.0
2025-04-23 01:29:45+00:00,5397.5,5397.75,5397.25,5397.5,14.0
2025-04-23 01:30:00+00:00,5397.75,5397.75,5394.75,5395.25,451.0
2025-04-23 01:30:15+00:00,5395.5,5395.5,5392.5,5392.5,262.0
2025-04-23 01:30:30+00:00,5393.0,5393.75,5392.0,5392.25,174.0
2025-04-23 01:30:45+00:00,5392.25,5392.75,5390.75,5391.25,144.0
2025-04-23 01:31:00+00:00,5391.0,5393.5,5391.0,5393.25,156.0
2025-04-23 01:31:15+00:00,5393.25,5393.25,5392.5,5392.75,75.0
2025-04-23 01:31:30+00:00,5392.75,5393.75,5391.75,5392.0,188.0
2025-04-23 01:31:45+00:00,5391.5,5392.75,5391.5,5392.75,47.0
2025-04-23 01:32:00+00:00,5392.25,5392.5,5391.5,5391.5,73.0
2025-04-23 01:32:15+00:00,5391.75,5392.0,5391.25,5391.25,53.0
2025-04-23 01:32:30+00:00,5391.25,5392.25,5391.0,5392.0,82.0
2025-04-23 01:32:45+00:00,5391.75,5393.0,5391.5,5392.75,67.0
2025-04-23 01:33:00+00:00,5392.5,5392.75,5392.25,5392.75,51.0
2025-04-23 01:33:15+00:00,5392.25,5393.0,5392.25,5392.25,36.0
2025-04-23 01:33:30+00:00,5392.5,5393.0,5392.25,5392.25,50.0
2025-04-23 01:33:45+00:00,5392.5,5392.5,5390.75,5390.75,96.0
2025-04-23 01:34:00+00:00,5390.75,5392.0,5390.75,5391.75,96.0
2025-04-23 01:34:15+00:00,5391.5,5392.25,5391.0,5391.75,51.0
2025-04-23 01:34:30+00:00,5391.75,5391.75,5390.25,5391.0,158.0
2025-04-23 01:34:45+00:00,5390.75,5391.0,5390.25,5390.25,67.0
2025-04-23 01:35:00+00:00,5390.5,5390.5,5389.0,5389.5,275.0
2025-04-23 01:35:15+00:00,5389.75,5390.0,5389.25,5389.75,74.0
2025-04-23 01:35:30+00:00,5389.75,5389.75,5389.0,5389.75,79.0
2025-04-23 01:35:45+00:00,5389.5,5390.25,5389.25,5390.0,100.0
2025-04-23 01:36:00+00:00,5390.25,5390.25,5389.5,5389.75,63.0
2025-04-23 01:36:15+00:00,5389.75,5390.0,5389.5,5389.5,42.0
2025-04-23 01:36:30+00:00,5389.5,5389.75,5389.0,5389.25,44.0
2025-04-23 01:36:45+00:00,5389.25,5389.5,5388.0,5389.25,251.0
2025-04-23 01:37:00+00:00,5389.25,5390.0,5386.5,5386.5,301.0
2025-04-23 01:37:15+00:00,5386.75,5387.5,5383.0,5385.5,576.0
2025-04-23 01:37:30+00:00,5385.75,5386.5,5384.5,5385.25,283.0
2025-04-23 01:37:45+00:00,5385.0,5385.25,5383.5,5384.5,201.0
2025-04-23 01:38:00+00:00,5384.75,5384.75,5382.25,5383.25,169.0
2025-04-23 01:38:15+00:00,5383.25,5383.5,5382.5,5382.75,179.0
2025-04-23 01:38:30+00:00,5382.75,5383.5,5382.5,5383.25,95.0
2025-04-23 01:38:45+00:00,5383.25,5384.0,5382.5,5383.75,100.0
2025-04-23 01:39:00+00:00,5384.5,5384.75,5384.0,5384.5,289.0
2025-04-23 01:39:15+00:00,5384.75,5384.75,5383.5,5383.75,91.0
2025-04-23 01:39:30+00:00,5383.5,5383.75,5383.0,5383.25,64.0
2025-04-23 01:39:45+00:00,5383.75,5383.75,5383.0,5383.5,62.0
2025-04-23 01:40:00+00:00,5383.5,5383.75,5382.0,5382.25,224.0
2025-04-23 01:40:15+00:00,5382.25,5383.0,5381.5,5382.75,183.0
2025-04-23 01:40:30+00:00,5382.5,5383.5,5382.25,5383.0,57.0
2025-04-23 01:40:45+00:00,5383.25,5383.25,5382.0,5382.25,90.0
2025-04-23 01:41:00+00:00,5382.5,5383.75,5382.25,5382.75,147.0
2025-04-23 01:41:15+00:00,5382.5,5383.0,5382.0,5382.75,59.0
2025-04-23 01:41:30+00:00,5382.5,5382.75,5381.75,5381.75,135.0
2025-04-23 01:41:45+00:00,5382.0,5382.0,5381.25,5381.75,107.0
2025-04-23 01:42:00+00:00,5382.0,5383.0,5380.5,5380.5,188.0
2025-04-23 01:42:15+00:00,5380.75,5381.0,5378.75,5378.75,320.0
2025-04-23 01:42:30+00:00,5378.75,5381.25,5378.5,5381.0,175.0
2025-04-23 01:42:45+00:00,5381.0,5381.75,5380.75,5381.0,116.0
2025-04-23 01:43:00+00:00,5381.25,5382.0,5380.5,5382.0,71.0
